"PART NUMBER","COMPONENT DENSITY","SPEED","MT/S","I/O VOLTAGE","OPERATING TEMP","BUS WIDTH","CAS LATENCY","PIN COUNT","PART STATUS CODE","COMPONENT CONFIG","DRY PACK QTY","PACKAGE DIMENSION (W X L X H) MM","TAPE & REEL QTY","NUMBER OF COMPONENTS","PART TYPE","TECHNOLOGY","PACKAGE","FAMILY"
"MT60B1G16HD-64B IT:H","16Gb","3200MHz","6400MTPS","1.1 VOLTS","-40C to +95C","x16","CL = 52","102-ball","Sampling","1Gb x16","1020","7.50 x 14.00 x 1.00","3000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B1G16HC-56B:G","16Gb","2800MHz","5600MTPS","1.1 VOLTS","0C to +95C","x16","CL = 46","102-ball","Obsolete","1Gb x16","1020","9.00 x 14.00 x 1.00","3000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B4G4RZ-56B:D","16Gb","2800MHz","5600MTPS","1.1 VOLTS","0C to +95C","x4","CL = 46","78-ball","Production","4Gb x4","1260","7.50 x 11.00 x 1.00","2000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B1G16HD-64B IT:D","16Gb","3200MHz","6400MTPS","1.1 VOLTS","-40C to +95C","x16","CL = 52","102-ball","Production","1Gb x16","1020","7.50 x 14.00 x 1.00","3000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B1G16HC-48B:A","16Gb","2400MHz","4800MTPS","1.1 VOLTS","0C to +95C","x16","CL = 40","102-ball","End of Life","1Gb x16","1020","9.00 x 14.00 x 1.00","2000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B3G8RW-48B:B","24Gb","2400MHz","4800MTPS","1.1 VOLTS","0C to +95C","x8","CL = 40","78-ball","End of Life","3Gb x8","1080","8.00 x 11.00 x 1.00","2500","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B2G8RZ-56B:D","16Gb","2800MHz","5600MTPS","1.1 VOLTS","0C to +95C","x8","CL = 46","78-ball","Production","2Gb x8","1260","7.50 x 11.00 x 1.00","2000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B2G8RZ-64B IT:D","16Gb","3200MHz","6400MTPS","1.1 VOLTS","-40C to +95C","x8","CL = 52","78-ball","Contact Sales","2Gb x8","1260","7.50 x 11.00 x 1.00","2000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B2G16HD-64B:B","32Gb","3200MHz","6400MTPS","1.1 VOLTS","0C to +95C","x16","CL = 52","102-ball","Production","2Gb x16","1020","7.50 x 14.00 x 1.00","3000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B1G16HD-56B IT:D","16Gb","2800MHz","5600MTPS","1.1 VOLTS","-40C to +95C","x16","CL = 46","102-ball","Contact Sales","1Gb x16","1020","7.50 x 14.00 x 1.00","3000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B2G8RZ-64B IT:H","16Gb","3200MHz","6400MTPS","1.1 VOLTS","-40C to +95C","x8","CL = 52","78-ball","Sampling","2Gb x8","1260","7.50 x 11.00 x 1.00","2000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B2G8HB-48B IT:A","16Gb","2400MHz","4800MTPS","1.1 VOLTS","-40C to +95C","x8","CL = 40","82-ball","Obsolete","2Gb x8","1260","9.00 x 11.00 x 1.00","3000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B2G8RZ-56B IT:D","16Gb","2800MHz","5600MTPS","1.1 VOLTS","-40C to +95C","x8","CL = 46","78-ball","Contact Sales","2Gb x8","1260","7.50 x 11.00 x 1.00","2000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B8G4AT-64B:B","32Gb","3200MHz","6400MTPS","1.1 VOLTS","0C to +95C","x4","CL = 52","78-ball","Contact Sales","8Gb x4","1140","7.50 x 11.50 x 1.00","3000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B4G8AT-64B:B","32Gb","3200MHz","6400MTPS","1.1 VOLTS","0C to +95C","x8","CL = 52","78-ball","Production","4Gb x8","1140","7.50 x 11.50 x 1.00","3000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B1G16HC-56B IT:G","16Gb","2800MHz","5600MTPS","1.1 VOLTS","-40C to +95C","x16","CL = 46","102-ball","Obsolete","1Gb x16","1020","9.00 x 14.00 x 1.00","3000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B2G8HS-48B AAT:A","16Gb","2400MHz","4800MTPS","1.1 VOLTS","-40C to +105C","x8","CL = 40","82-ball","Obsolete","2Gb x8","1260","9.00 x 11.00 x 1.00","3000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B6G4RW-48B:B","24Gb","2400MHz","4800MTPS","1.1 VOLTS","0C to +95C","x4","CL = 40","78-ball","Obsolete","6Gb x4","1080","8.00 x 11.00 x 1.00","2500","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B1G16HD-56B:D","16Gb","2800MHz","5600MTPS","1.1 VOLTS","0C to +95C","x16","CL = 46","102-ball","Contact Sales","1Gb x16","1020","7.50 x 14.00 x 1.00","3000","2","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B1G16HD-64B:H","16Gb","3200MHz","6400MTPS","1.1 VOLTS","0C to +95C","x16","CL = 52","102-ball","Production","1Gb x16","1020","7.50 x 14.00 x 1.00","3000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B2G8RZ-64B:H","16Gb","3200MHz","6400MTPS","1.1 VOLTS","0C to +95C","x8","CL = 52","78-ball","Production","2Gb x8","1260","7.50 x 11.00 x 1.00","2000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B4G4RZ-64B:D","16Gb","3200MHz","6400MTPS","1.1 VOLTS","0C to +95C","x4","CL = 52","78-ball","Production","4Gb x4","1260","7.50 x 11.00 x 1.00","2000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B2G8HB-52B:G","16Gb","2600MHz","5200MTPS","1.1 VOLTS","0C to +95C","x8","CL = 42","82-ball","End of Life","2Gb x8","1260","9.00 x 11.00 x 1.00","3000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B1G16HT-48B AAT:A","16Gb","2400MHz","4800MTPS","1.1 VOLTS","-40C to +105C","x16","CL = 40","102-ball","Obsolete","1Gb x16","1020","9.00 x 14.00 x 1.00","2000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B2G8HB-56B:G","16Gb","2800MHz","5600MTPS","1.1 VOLTS","0C to +95C","x8","CL = 46","82-ball","End of Life","2Gb x8","1260","9.00 x 11.00 x 1.00","3000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B2G8RZ-64B:D","16Gb","3200MHz","6400MTPS","1.1 VOLTS","0C to +95C","x8","CL = 52","78-ball","Production","2Gb x8","1260","7.50 x 11.00 x 1.00","2000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B1536M16RV-56B:B","24Gb","2800MHz","5600MTPS","1.1 VOLTS","0C to +95C","x16","CL = 46","102-ball","End of Life","1.5Gb x16","1224","8.00 x 14.00 x 1.00","2000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B1G16HC-48B IT:A","16Gb","2400MHz","4800MTPS","1.1 VOLTS","-40C to +95C","x16","CL = 40","102-ball","Obsolete","1Gb x16","1020","9.00 x 14.00 x 1.00","3000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B1G16HD-72B IT:H","16Gb","3600MHz","7200MTPS","1.1 VOLTS","-40C to +95C","x16","CL = 58","102-ball","End of Life","1Gb x16","1020","7.50 x 14.00 x 1.00","3000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B1G16HD-64B:D","16Gb","3200MHz","6400MTPS","1.1 VOLTS","0C to +95C","x16","CL = 52","102-ball","Contact Sales","1Gb x16","1020","7.50 x 14.00 x 1.00","3000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B6G4RW-56B:B","24Gb","2800MHz","5600MTPS","1.1 VOLTS","0C to +95C","x4","CL = 46","78-ball","Obsolete","6Gb x4","1080","8.00 x 11.00 x 1.00","2500","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B4G4HB-56B:G","16Gb","2800MHz","5600MTPS","1.1 VOLTS","0C to +95C","x4","CL = 46","82-ball","Obsolete","4Gb x4","1260","9.00 x 11.00 x 1.00","3000","1","COMPONENT","DDR5","VFBGA","DRAM"
"MT60B4G4RZ-64B:H","16Gb","3200MHz","6400MTPS","1.1 VOLTS","0C to +95C","x4","CL = 52","78-ball","Production","4Gb x4","1260","7.50 x 11.00 x 1.00","2000","1","COMPONENT","DDR5","VFBGA","DRAM"
