"PART NUMBER","COMPONENT DENSITY","SPEED","MT/S","I/O VOLTAGE","OPERATING TEMP","BUS WIDTH","CAS LATENCY","PIN COUNT","PART STATUS CODE","COMPONENT CONFIG","DRY PACK QTY","PACKAGE DIMENSION (W X L X H) MM","TAPE & REEL QTY","NUMBER OF COMPONENTS","PART TYPE","TECHNOLOGY","PACKAGE","FAMILY"
"MT41K64M16TW-107 AAT:J","1Gb","933MHz","1866MTPS","1.35 VOLTS","-40C to +105C","x16","CL = 13","96-ball","Production","64Mb x16","1224","8.00 x 14.00 x 1.20","2000","1","COMPONENT","DDR3","TFBGA","DRAM"
"MT41J128M16JT-125:K","2Gb","800MHz","1600MTPS","1.5 VOLTS","0C to +95C","x16","CL = 11","96-ball","Production","128Mb x16","1224","8.00 x 14.00 x 1.20","2000","1","COMPONENT","DDR3","FBGA","DRAM"
"MT41K256M16TW-107:P","4Gb","933MHz","1866MTPS","1.35 VOLTS","0C to +95C","x16","CL = 13","96-ball","Production","256Mb x16","1224","8.00 x 14.00 x 1.20","2000","1","COMPONENT","DDR3","TFBGA","DRAM"
"MT41K256M16TW-107 AAT:P","4Gb","933MHz","1866MTPS","1.35 VOLTS","-40C to +105C","x16","CL = 13","96-ball","Production","256Mb x16","1224","8.00 x 14.00 x 1.20","2000","1","COMPONENT","DDR3","TFBGA","DRAM"
"MT41K64M16TW-107 XIT:J","1Gb","933MHz","1866MTPS","1.35 VOLTS","-40C to +95C","x16","CL = 13","96-ball","Production","64Mb x16","1224","8.00 x 14.00 x 1.20","2000","1","COMPONENT","DDR3","TFBGA","DRAM"
"MT41K256M16TW-107 AIT:P","4Gb","933MHz","1866MTPS","1.35 VOLTS","-40C to +95C","x16","CL = 13","96-ball","Production","256Mb x16","1224","8.00 x 14.00 x 1.20","2000","1","COMPONENT","DDR3","TFBGA","DRAM"
"MT41K128M16JT-125 XIT:K","2Gb","800MHz","1600MTPS","1.35 VOLTS","-40C to +95C","x16","CL = 11","96-ball","Production","128Mb x16","1224","8.00 x 14.00 x 1.20","2000","1","COMPONENT","DDR3","FBGA","DRAM"
"MT41K256M16V00HWC1","4Gb","","","1.5 VOLTS","0C to +95C","x16","","","Contact Sales","256Mb x16","","","","1","DIE","DDR3","","DRAM"
"MT41K256M16TW-107 XIT:P","4Gb","933MHz","1866MTPS","1.35 VOLTS","-40C to +95C","x16","CL = 13","96-ball","Production","256Mb x16","1224","8.00 x 14.00 x 1.20","2000","1","COMPONENT","DDR3","TFBGA","DRAM"
"MT41K256M8DA-125:K","2Gb","800MHz","1600MTPS","1.35 VOLTS","0C to +95C","x8","CL = 11","78-ball","Production","256Mb x8","1440","8.00 x 10.50 x 1.20","2000","1","COMPONENT","DDR3","FBGA","DRAM"
