errado,certo,status_alvo,confidence,status_kp,fonte_engine,capacidade
KMQX60013,KMQX60013M,GRAMATICA,estimated,enriched,gramática,eMMC 5.1 32GB / LPDDR3 2GB
KMQN10006P,KMQN10006M,NAO-VISIVEL,estimated,raw,gramática,eMMC 5.1 8GB / LPDDR3 1GB
KMQN10006G,KMQN1000GB,NAO-VISIVEL,estimated,raw,gramática,eMMC 5.1 8GB / LPDDR3 1GB
KMQN100063,KMQN10006M,NAO-VISIVEL,estimated,raw,gramática,eMMC 5.1 8GB / LPDDR3 1GB
KMKN10012M,KMFN10012M,NAO-VISIVEL,estimated,raw,gramática,eMMC 5.1 8GB / LPDDR3 1GB
KMFN19912M,KMFN10012M,NAO-VISIVEL,estimated,raw,gramática,eMMC 5.1 8GB / LPDDR3 1GB
KMGX6001M,KMGX6001BM,NAO-VISIVEL,estimated,raw,gramática,eMMC 5.1 32GB / LPDDR3 2GB
KLM8G1GETE,KLM8G1GETP,NAO-VISIVEL,estimated,raw,gramática,8GB
