pn,pn_raw,base_pn,is_base,chip_type,subtype,capacity,density_gbit,density_gb,interface,organization,voltage,speed_mbps,package_pins,package_size,package_type,notes,source,confidence,status
KLUEG8U1EM,KLUEG8U1EM,KLUEG8U1EM,yes,UFS,UFS 2.1 Samsung,256GB,,,UFS 2.1,,3.3V/1.8V,R:890 W:260 MB/s,,11.5x13.0mm,FBGA,TLC M-die. UFS 2.1 Gear 3 x2 lanes. IOPS R/W: 48K/42K. Também disponível UFS 2.0 (850/260 MB/s). Base PN (sem bucket).,Samsung PSG 1H 2017,confirmed,enriched
KLUDG8V1EE,KLUDG8V1EE,KLUDG8V1EE,yes,UFS,UFS 2.1 Samsung,128GB,,,UFS 2.1,,3.3V/1.8V,R:880 W:230 MB/s,,11.5x13.0x1.0mm,FBGA,MLC E-die. UFS 2.1 Gear 3 x2 lanes. IOPS R/W: 40K/33K.,Samsung PSG 1H 2017,confirmed,enriched
KLUCG4J1ED,KLUCG4J1ED,KLUCG4J1ED,yes,UFS,UFS 2.1 Samsung,64GB,,,UFS 2.1,,3.3V/1.8V,R:880 W:200 MB/s,,11.5x13.0mm,FBGA,MLC D-die. UFS 2.1 Gear 3 x2 lanes. IOPS R/W: 48K/35K.,Samsung PSG 1H 2017,confirmed,enriched
KLUDG8J1CB,KLUDG8J1CB,KLUDG8J1CB,yes,UFS,UFS 2.0 Samsung,128GB,,,UFS 2.0,,3.3V/1.8V,R:460 W:160 MB/s,,11.5x13.0x1.2mm,FBGA,MLC B-die. UFS 2.0 Gear 3 x1 lane. IOPS R/W: 20K/14K. MP.,Samsung PSG 1H 2017,confirmed,enriched
KLUCG4J1CB,KLUCG4J1CB,KLUCG4J1CB,yes,UFS,UFS 2.0 Samsung,64GB,,,UFS 2.0,,3.3V/1.8V,,,11.5x13.0x1.2mm,FBGA,MLC B-die. UFS 2.0 Gear 3 x1 lane. MP.,Samsung PSG 1H 2017,confirmed,enriched
KLUBG4G1CE,KLUBG4G1CE,KLUBG4G1CE,yes,UFS,UFS 2.0 Samsung,32GB,,,UFS 2.0,,3.3V/1.8V,,,11.5x13.0x1.0mm,FBGA,MLC E-die. UFS 2.0 Gear 3 x1 lane. MP. Galaxy S6 era (2015).,Samsung PSG 1H 2017,confirmed,enriched
