pn,pn_raw,base_pn,is_base,chip_type,subtype,capacity,density_gbit,density_gb,interface,organization,voltage,speed_mbps,package_pins,package_size,package_type,notes,source,confidence,status
K4E8E324EBEGCF,K4E8E324EB-EGCF,K4E8E324EBEGCF,yes,LPDDR3,LPDDR3,1GB,8Gb,1GB,LPDDR3,1CH x32,1.8V/1.2V,1866,178,11x11.5mm,FBGA,SDP. Geração B (1866Mbps). Atualização do K4E8E304EE (2014).,Samsung PSG 1H 2017,confirmed,enriched
K4E8E324EBAGCF,K4E8E324EB-AGCF,K4E8E324EBAGCF,yes,LPDDR3,LPDDR3,1GB,8Gb,1GB,LPDDR3,1CH x32,1.8V/1.2V,1866,168,12x12mm,FBGA,SDP. Geração B (1866Mbps).,Samsung PSG 1H 2017,confirmed,enriched
K4E2E304EAAGCF,K4E2E304EA-AGCF,K4E2E304EAAGCF,yes,LPDDR3,LPDDR3,1.5GB,12Gb,1.5GB,LPDDR3,1CH x32,1.8V/1.2V,1866,168,12x12mm,FBGA,DDP (Triple Die). 1.5GB LPDDR3.,Samsung PSG 1H 2017,confirmed,enriched
K4E6E304EBEGCF,K4E6E304EB-EGCF,K4E6E304EBEGCF,yes,LPDDR3,LPDDR3,2GB,16Gb,2GB,LPDDR3,1CH x32,1.8V/1.2V,1866,178,11x11.5mm,FBGA,DDP. Geração B (1866Mbps).,Samsung PSG 1H 2017,confirmed,enriched
K4E6E304EBAGCF,K4E6E304EB-AGCF,K4E6E304EBAGCF,yes,LPDDR3,LPDDR3,2GB,16Gb,2GB,LPDDR3,1CH x32,1.8V/1.2V,1866,168,12x12mm,FBGA,DDP. Geração B (1866Mbps).,Samsung PSG 1H 2017,confirmed,enriched
K3QF2F20BMAGCF,K3QF2F20BM-AGCF,K3QF2F20BMAGCF,yes,LPDDR3,LPDDR3,2GB,16Gb,2GB,LPDDR3,2CH x32,1.8V/1.2V,1866,253,11x11.5mm,FBGA,DDP. K3=multi-channel PoP. Geração B (1866Mbps).,Samsung PSG 1H 2017,confirmed,enriched
K3QF3F30BMFGCF,K3QF3F30BM-FGCF,K3QF3F30BMFGCF,yes,LPDDR3,LPDDR3,2GB,16Gb,2GB,LPDDR3,2CH x32,1.8V/1.2V,1866,256,14x14mm,FBGA,DDP. K3=multi-channel PoP. Geração B (1866Mbps). NÃO é 3GB — revisão de die.,Samsung PSG 1H 2017,confirmed,enriched
K4EHE304EAAGCF,K4EHE304EA-AGCF,K4EHE304EAAGCF,yes,LPDDR3,LPDDR3,3GB,24Gb,3GB,LPDDR3,1CH x32,1.8V/1.2V,1866,168,12x12mm,FBGA,QDP (Quad Die). 24Gb = 3GB LPDDR3 standalone.,Samsung PSG 1H 2017,confirmed,enriched
K3QF6F60AMFGCF,K3QF6F60AM-FGCF,K3QF6F60AMFGCF,yes,LPDDR3,LPDDR3,3GB,24Gb,3GB,LPDDR3,2CH x32,1.8V/1.2V,1866,256,14x14mm,FBGA,QDP. K3=multi-channel PoP. 24Gb total.,Samsung PSG 1H 2017,confirmed,enriched
K4EBE304EBEGCF,K4EBE304EB-EGCF,K4EBE304EBEGCF,yes,LPDDR3,LPDDR3,4GB,32Gb,4GB,LPDDR3,1CH x32,1.8V/1.2V,1866,178,11x11.5mm,FBGA,QDP (Quad Die). 32Gb = 4GB LPDDR3 standalone.,Samsung PSG 1H 2017,confirmed,enriched
K3QF4F40BMAGCF,K3QF4F40BM-AGCF,K3QF4F40BMAGCF,yes,LPDDR3,LPDDR3,4GB,32Gb,4GB,LPDDR3,2CH x32,1.8V/1.2V,1866,253,11x11.5mm,FBGA,QDP. K3=multi-channel PoP. 32Gb total.,Samsung PSG 1H 2017,confirmed,enriched
K3QF4F40BMFGCF,K3QF4F40BM-FGCF,K3QF4F40BMFGCF,yes,LPDDR3,LPDDR3,4GB,32Gb,4GB,LPDDR3,2CH x32,1.8V/1.2V,1866,256,14x14mm,FBGA,QDP. K3=multi-channel PoP. 32Gb total.,Samsung PSG 1H 2017,confirmed,enriched
K4F8E304HBMGCJ,K4F8E304HB-MGCJ,K4F8E304HBMGCJ,yes,LPDDR4,LPDDR4,1GB,8Gb,1GB,LPDDR4,2CH x16,1.8V/1.1V/1.1V,3733,200,10x15mm,FBGA,SDP. LPDDR4 standalone. Tensão I/O 1.1V.,Samsung PSG 1H 2017,confirmed,enriched
